FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL
Jamall Emmers,"5' 10""",145 lbs.,"74""",Orthodox,"Jul 24, 1989",http://ufcstats.com/fighter-details/e00a3dee329a51f7
Josh Emmett,"5' 6""",145 lbs.,"70""",Orthodox,"Mar 04, 1985",http://ufcstats.com/fighter-details/fba03cd6cc28dc41
Kolton Englund,"5' 10""",155 lbs.,"69""",Orthodox,"Jul 09, 1993",http://ufcstats.com/fighter-details/4122da4f791b2f4f
Oliver Enkamp,"6' 0""",170 lbs.,"77""",Switch,"Aug 10, 1991",http://ufcstats.com/fighter-details/330bafba312face4
Andy Enz,"6' 3""",185 lbs.,"78""",Orthodox,"Aug 15, 1991",http://ufcstats.com/fighter-details/993d385f5a475375
Yuji Ephoevi-Ga,"6' 0""",155 lbs.,"75""",Switch,"Oct 19, 1999",http://ufcstats.com/fighter-details/919fc4bc3edf4de7
Abdellah Er-Ramy,"6' 0""",185 lbs.,"74""",Orthodox,"Sep 19, 1996",http://ufcstats.com/fighter-details/b593cd58b0afffb0
Steve Erceg,"5' 8""",125 lbs.,"68""",Orthodox,"Jul 27, 1995",http://ufcstats.com/fighter-details/32ab52e5de93092d
Julian Erosa,"6' 1""",145 lbs.,"74""",Southpaw,"Jul 31, 1989",http://ufcstats.com/fighter-details/902ec2cc48c8ae8a
Jarno Errens,"5' 11""",145 lbs.,"73""",Orthodox,"Nov 17, 1994",http://ufcstats.com/fighter-details/082eba4cd80f736f
Ivan Erslan,"6' 2""",205 lbs.,"72""",Orthodox,"Nov 15, 1991",http://ufcstats.com/fighter-details/64ad3e3b0efa30bb
Cole Escovedo,"5' 7""",135 lbs.,"72""",Orthodox,"Aug 30, 1981",http://ufcstats.com/fighter-details/5df17b3620145578
Efrain Escudero,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 15, 1986",http://ufcstats.com/fighter-details/83fd97284f4bb4a4
Carla Esparza,"5' 1""",115 lbs.,"63""",Orthodox,"Oct 10, 1987",http://ufcstats.com/fighter-details/d910665038efc639
Juan Espino,"6' 3""",255 lbs.,"80""",Orthodox,"Oct 09, 1980",http://ufcstats.com/fighter-details/ccf5dc41417e9daf
Jordan Espinosa,"5' 6""",125 lbs.,"69""",Orthodox,"Nov 08, 1989",http://ufcstats.com/fighter-details/215a70f073a7b726
Jodie Esquibel,"5' 1""",115 lbs.,"64""",Orthodox,"May 07, 1986",http://ufcstats.com/fighter-details/411539901068522f
Rafael Estevam,"5' 8""",125 lbs.,"69""",Orthodox,"Aug 10, 1996",http://ufcstats.com/fighter-details/83455a9d17f57dae
Achilles Estremadura,"5' 10""",155 lbs.,"68""",Orthodox,"Mar 11, 1992",http://ufcstats.com/fighter-details/41f3cfdab0b22236
Shaun Etchell,"5' 7""",125 lbs.,"68""",Switch,"Aug 05, 1993",http://ufcstats.com/fighter-details/ea9bfe9c25037bba
Terry Etim,"6' 1""",155 lbs.,"73""",Orthodox,"Jan 11, 1986",http://ufcstats.com/fighter-details/33011768c3c4dc9a
Sijara Eubanks,"5' 4""",125 lbs.,"67""",Orthodox,"Apr 27, 1985",http://ufcstats.com/fighter-details/4234f0097c83fa62
Billy Evangelista,"5' 8""",155 lbs.,"68""",Orthodox,"Oct 07, 1980",http://ufcstats.com/fighter-details/9766ed20b68c7c33
Rashad Evans,"6' 0""",205 lbs.,"75""",Orthodox,"Sep 25, 1979",http://ufcstats.com/fighter-details/ee779c43a8926d52
Ashlee Evans-Smith,"5' 8""",135 lbs.,"67""",Orthodox,"Jul 09, 1987",http://ufcstats.com/fighter-details/fc6e681bf6658faf
Tonya Evinger,"5' 7""",135 lbs.,"70""",Orthodox,"Jun 04, 1981",http://ufcstats.com/fighter-details/b12a1d19ee383b7c
Movsar Evloev,"5' 7""",145 lbs.,"72""",Orthodox,"Feb 11, 1994",http://ufcstats.com/fighter-details/76e2870ffafbe38f
Andre Ewell,"5' 8""",145 lbs.,"75""",Southpaw,"Jan 21, 1988",http://ufcstats.com/fighter-details/5f6f049d54728e88
Chris Ewert,"6' 0""",185 lbs.,"75""",Orthodox,"Sep 06, 1993",http://ufcstats.com/fighter-details/54c2576b7f2f1f57
Manuel Exposito,"5' 7""",145 lbs.,"68""",Orthodox,"May 09, 2000",http://ufcstats.com/fighter-details/a1cb266d7f44f35f
Jessica Eye,"5' 6""",125 lbs.,"66""",Orthodox,"Jul 27, 1986",http://ufcstats.com/fighter-details/f72465a784c1b084
Edward Faaloloto,--,155 lbs.,"70""",Orthodox,"Jul 15, 1984",http://ufcstats.com/fighter-details/6224e8d0a34264eb
Urijah Faber,"5' 6""",135 lbs.,"67""",Orthodox,"May 14, 1979",http://ufcstats.com/fighter-details/78114b7199cef90c
Melinda Fabian,"5' 6""",125 lbs.,"66""",Orthodox,"Jun 25, 1987",http://ufcstats.com/fighter-details/8c020156779f7888
Wagnney Fabiano,"5' 6""",145 lbs.,"69""",Southpaw,"Jul 14, 1975",http://ufcstats.com/fighter-details/40389d39a92f5bfa
Bartosz Fabinski,"6' 0""",170 lbs.,"75""",Orthodox,"Apr 26, 1986",http://ufcstats.com/fighter-details/e17ac6410c8377f4
Zarah Fairn,"5' 8""",135 lbs.,"72""",Orthodox,"Dec 10, 1983",http://ufcstats.com/fighter-details/862b0b3375aa4b6e
Rinat Fakhretdinov,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 28, 1991",http://ufcstats.com/fighter-details/8f765fd5775a8873
Pedro Falcao,"5' 6""",135 lbs.,"66""",Orthodox,"Jul 30, 1992",http://ufcstats.com/fighter-details/f7be1db194e03d7e
Jair Farias,"6' 1""",145 lbs.,"76""",Orthodox,"Mar 16, 1993",http://ufcstats.com/fighter-details/431262bbc69215dc
Rico Farrington,"6' 4""",170 lbs.,"79""",Southpaw,"Jun 19, 1989",http://ufcstats.com/fighter-details/f89e6e66b9b112de
Paul Felder,"5' 11""",155 lbs.,"70""",Orthodox,"Apr 25, 1984",http://ufcstats.com/fighter-details/e5010b1b94ca5755
Carlos Felipe,"6' 0""",245 lbs.,"75""",Orthodox,"Jan 12, 1995",http://ufcstats.com/fighter-details/a2ea77e974c5889f
Feng Xiaocan,"5' 7""",115 lbs.,"67""",Southpaw,"Oct 27, 2001",http://ufcstats.com/fighter-details/c940b42df95bbd28
Kevin Ferguson,"6' 2""",235 lbs.,"77""",Orthodox,"Feb 08, 1974",http://ufcstats.com/fighter-details/27541033b97c076d
Tony Ferguson,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 12, 1984",http://ufcstats.com/fighter-details/22a92d7f62195791
Gabriella Fernandes,"5' 6""",125 lbs.,"66""",Southpaw,"Aug 13, 1993",http://ufcstats.com/fighter-details/a6eb54ae17a551be
Kaue Fernandes,"5' 9""",155 lbs.,"73""",Orthodox,"Mar 17, 1995",http://ufcstats.com/fighter-details/ec13c393d029297d
Lucas Fernando,"6' 3""",185 lbs.,"80""",,"Jan 10, 1997",http://ufcstats.com/fighter-details/3df223aeaacecf3f
Cezar Ferreira,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 15, 1985",http://ufcstats.com/fighter-details/dbc17725b887860a
Diego Ferreira,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 18, 1985",http://ufcstats.com/fighter-details/f53d4f21d1b5f2dc
Erisson Ferreira,"5' 6""",125 lbs.,"70""",Orthodox,"May 03, 1991",http://ufcstats.com/fighter-details/1c2a8915f8431507
Brunno Ferreira,"5' 10""",185 lbs.,"72""",Orthodox,"Nov 04, 1992",http://ufcstats.com/fighter-details/1e719d4b676dc19a
Timo Feucht,"6' 3""",205 lbs.,"79""",Orthodox,"Jan 18, 1996",http://ufcstats.com/fighter-details/8c21eb9fd7c4c203
Andre Fialho,"6' 0""",170 lbs.,"74""",Orthodox,"Apr 07, 1994",http://ufcstats.com/fighter-details/33efaf2d0941cfcf
Drew Fickett,"5' 10""",155 lbs.,"70""",Orthodox,"Dec 14, 1979",http://ufcstats.com/fighter-details/d814f5192e58fb2f
Michal Figlak,"5' 10""",155 lbs.,"70""",Orthodox,"Aug 15, 1996",http://ufcstats.com/fighter-details/b4c57a8c2b773e82
Deiveson Figueiredo,"5' 5""",135 lbs.,"68""",Orthodox,"Dec 18, 1987",http://ufcstats.com/fighter-details/aa72b0f831d0bfe5
Francisco Figueiredo,"5' 6""",125 lbs.,"68""",Southpaw,"Oct 23, 1989",http://ufcstats.com/fighter-details/cdadae5363b66eef
Edwin Figueroa,"5' 7""",135 lbs.,"69""",Orthodox,"Jul 31, 1984",http://ufcstats.com/fighter-details/bbfca6d5c27d9cd8
Jafel Filho,"5' 7""",125 lbs.,"68""",Orthodox,"May 05, 1993",http://ufcstats.com/fighter-details/65adf3856c4d9256
Andre Fili,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990",http://ufcstats.com/fighter-details/8fd808923cffff82
Mirko Filipovic,"6' 2""",230 lbs.,"73""",Southpaw,"Sep 10, 1974",http://ufcstats.com/fighter-details/c32fb8c0f6471a4d
Torrez Finney,"5' 8""",185 lbs.,"75""",Orthodox,"Oct 24, 1998",http://ufcstats.com/fighter-details/fbb60f24af5d5a02
Luigi Fioravanti,"5' 8""",170 lbs.,"70""",Orthodox,"Jan 22, 1981",http://ufcstats.com/fighter-details/9583662df31d943f
Nick Fiore,"5' 10""",155 lbs.,"72""",Orthodox,"Dec 10, 1997",http://ufcstats.com/fighter-details/036e96c1c12b8a59
Manon Fiorot,"5' 7""",125 lbs.,"65""",Orthodox,"Feb 17, 1990",http://ufcstats.com/fighter-details/34ff304266360297
Spencer Fisher,"5' 7""",155 lbs.,"68""",Southpaw,"May 09, 1976",http://ufcstats.com/fighter-details/f34312c2ccfa0e00
Chris Fishgold,"5' 8""",145 lbs.,"68""",Orthodox,"Jun 06, 1992",http://ufcstats.com/fighter-details/bebb4ae55ac2bf6f
Jon Fitch,"6' 0""",170 lbs.,"74""",Orthodox,"Feb 24, 1978",http://ufcstats.com/fighter-details/6f018c039b4d5d80
Rafael Fiziev,"5' 8""",155 lbs.,"71""",Switch,"Mar 05, 1993",http://ufcstats.com/fighter-details/c814b4c899793af6
AJ Fletcher,"5' 10""",170 lbs.,"67""",Switch,"Feb 18, 1997",http://ufcstats.com/fighter-details/725b1abc9a39d873
Nathan Fletcher,"5' 7""",135 lbs.,"70""",Orthodox,"Jan 03, 1998",http://ufcstats.com/fighter-details/a2d342ffc83913ed
Jimmy Flick,"5' 7""",125 lbs.,"68""",Orthodox,"Sep 07, 1990",http://ufcstats.com/fighter-details/09e62c450e754913
Luke Flores,"6' 0""",155 lbs.,"73""",Southpaw,"Mar 17, 1988",http://ufcstats.com/fighter-details/b5f44dcb863f595b
Ty Flores,"6' 3""",205 lbs.,"73""",Switch,"Dec 22, 1993",http://ufcstats.com/fighter-details/4bb0f74d5e26f89a
Alejandro Flores,"5' 10""",145 lbs.,"73""",Orthodox,"Aug 06, 1991",http://ufcstats.com/fighter-details/d23d5960ac5e117c
Kenny Florian,"5' 10""",145 lbs.,"74""",Southpaw,"May 26, 1976",http://ufcstats.com/fighter-details/cb139171ed1b69fe
Darrius Flowers,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 25, 1994",http://ufcstats.com/fighter-details/65db4065e2bc107d
Caros Fodor,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 07, 1984",http://ufcstats.com/fighter-details/01d2ed8c502e3828
Rob Font,"5' 8""",135 lbs.,"71""",Orthodox,"Jun 25, 1987",http://ufcstats.com/fighter-details/05339613bf8e9808
Jesse Forbes,"6' 2""",185 lbs.,"75""",Southpaw,"Oct 24, 1984",http://ufcstats.com/fighter-details/947eccadb72f4f6f
Raheam Forest,"5' 11""",170 lbs.,"73""",Switch,"Jul 11, 1997",http://ufcstats.com/fighter-details/90390dd1b0791e7f
Jussier Formiga,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 14, 1985",http://ufcstats.com/fighter-details/b102c26727306ab6
Carol Foro,"5' 2""",115 lbs.,"61""",Orthodox,"Mar 21, 1997",http://ufcstats.com/fighter-details/77ba5b2939c4018b
Renee Forte,"5' 7""",155 lbs.,"71""",Orthodox,"Mar 27, 1987",http://ufcstats.com/fighter-details/44bc27bfa76dcd9e
Brianna Fortino,"5' 0""",115 lbs.,"62""",Southpaw,"Aug 04, 1993",http://ufcstats.com/fighter-details/b53c46f613f6f248
Marcel Fortuna,"6' 1""",205 lbs.,"74""",Orthodox,"Oct 22, 1985",http://ufcstats.com/fighter-details/d761b3766e38c5db
Brian Foster,"5' 9""",170 lbs.,"71""",Orthodox,"Apr 03, 1984",http://ufcstats.com/fighter-details/3dc3022232b79c7a
Hermes Franca,"5' 6""",155 lbs.,"71""",Orthodox,"Aug 26, 1974",http://ufcstats.com/fighter-details/e0ec3c3b6b611f7e
Glaico Franca Moreira,"6' 0""",155 lbs.,"77""",Orthodox,"Feb 28, 1991",http://ufcstats.com/fighter-details/00a3ff40c4b2cf21
John Franchi,"5' 6""",145 lbs.,"67""",Orthodox,"Jul 16, 1982",http://ufcstats.com/fighter-details/b9532d815060de7f
Felipe Franco,"6' 1""",205 lbs.,"76""",Orthodox,"Jan 22, 2001",http://ufcstats.com/fighter-details/e564146b9cf6dbef
Rich Franklin,"6' 1""",185 lbs.,"76""",Southpaw,"Oct 05, 1974",http://ufcstats.com/fighter-details/d897897060f10a3a
Xavier Franklin,"5' 6""",135 lbs.,"66""",Southpaw,"Oct 15, 1996",http://ufcstats.com/fighter-details/90957a918e26bf9c
Stephanie Frausto,"5' 2""",115 lbs.,"61""",Orthodox,"Sep 20, 1990",http://ufcstats.com/fighter-details/fee02819a271c050
Justin Frazier,"6' 0""",265 lbs.,"75""",Southpaw,"Jun 15, 1989",http://ufcstats.com/fighter-details/78863e4a28204a6b
Patricio Freire,"5' 6""",145 lbs.,"67""",Orthodox,"Jul 07, 1987",http://ufcstats.com/fighter-details/98a58c26c5b1ed17
Patricky Freire,"5' 7""",155 lbs.,"71""",,"Jun 01, 1986",http://ufcstats.com/fighter-details/90e6dde9113830bd
Josh Fremd,"6' 4""",185 lbs.,"76""",Orthodox,"Jan 15, 1994",http://ufcstats.com/fighter-details/ca43de99b07b6b40
Matt Frevola,"5' 9""",155 lbs.,"71""",Orthodox,"Jun 11, 1990",http://ufcstats.com/fighter-details/dccb63727f2f5f74
Jinh Yu Frey,"5' 3""",115 lbs.,"65""",Southpaw,"May 20, 1985",http://ufcstats.com/fighter-details/d05cb1e8d1b885d8
Sarah Frota,"5' 6""",125 lbs.,"69""",Southpaw,"Apr 14, 1987",http://ufcstats.com/fighter-details/1641ef250e9de19b
Daniel Frunza,"6' 1""",170 lbs.,"73""",Orthodox,"Apr 13, 1994",http://ufcstats.com/fighter-details/7cec3c4a5e7b6d68
Adam Fugitt,"6' 1""",170 lbs.,"77""",Southpaw,"Jan 12, 1989",http://ufcstats.com/fighter-details/a01a62132460a98d
Riki Fukuda,"6' 0""",185 lbs.,"73""",Southpaw,"Jan 06, 1981",http://ufcstats.com/fighter-details/7c35f869033901ae
Masio Fullen,"5' 10""",145 lbs.,"70""",Orthodox,"Oct 06, 1986",http://ufcstats.com/fighter-details/4638cc6479cc0afe
Ricardo Funch,"5' 10""",170 lbs.,"74""",Southpaw,"Aug 14, 1980",http://ufcstats.com/fighter-details/e9e1acc96536bb4f
Claudia Gadelha,"5' 4""",115 lbs.,"63""",Orthodox,"Dec 07, 1988",http://ufcstats.com/fighter-details/ec34349e7dffcde7
Magomed Gadzhiyasulov,"6' 2""",205 lbs.,"75""",Orthodox,"Nov 04, 1993",http://ufcstats.com/fighter-details/6e344b71421103da
Justin Gaethje,"5' 11""",155 lbs.,"70""",Orthodox,"Nov 14, 1988",http://ufcstats.com/fighter-details/9e8f6c728eb01124
Muin Gafurov,"5' 7""",135 lbs.,"68""",Orthodox,"May 17, 1996",http://ufcstats.com/fighter-details/a54660deb6a8489c
Mitch Gagnon,"5' 5""",135 lbs.,"65""",Southpaw,"Oct 10, 1984",http://ufcstats.com/fighter-details/b8592b4a383696cd
Mickey Gall,"6' 2""",170 lbs.,"74""",Switch,"Jan 22, 1992",http://ufcstats.com/fighter-details/9e50097a89442158
Manvel Gamburyan,"5' 5""",135 lbs.,"67""",Orthodox,"May 08, 1981",http://ufcstats.com/fighter-details/cc6f9d1e89f3449a
Mateusz Gamrot,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 11, 1990",http://ufcstats.com/fighter-details/72db2a14ffa73ece
Shamil Gamzatov,"6' 2""",205 lbs.,"76""",Orthodox,"Aug 09, 1990",http://ufcstats.com/fighter-details/0d980975001ae3d8
Ryan Gandra,"6' 1""",185 lbs.,"74""",Orthodox,"May 08, 1995",http://ufcstats.com/fighter-details/e463ce0a2ca474f4
Ciryl Gane,"6' 4""",245 lbs.,"81""",Orthodox,"Apr 12, 1990",http://ufcstats.com/fighter-details/787bb1f087ccff8a
Tommy Gantt,"5' 11""",155 lbs.,"76""",Orthodox,"Jan 09, 1993",http://ufcstats.com/fighter-details/de83f920fd302871
Eduardo Garagorri,"5' 9""",145 lbs.,"70""",Orthodox,"May 28, 1989",http://ufcstats.com/fighter-details/7bde387d50829adf
Cody Garbrandt,"5' 8""",135 lbs.,"65""",Orthodox,"Jul 07, 1991",http://ufcstats.com/fighter-details/d8c7c61b176e3994
Leonard Garcia,"5' 10""",145 lbs.,"68""",Orthodox,"Jul 14, 1979",http://ufcstats.com/fighter-details/917e53fa0adea0d3
Edgar Garcia,"5' 10""",170 lbs.,"71""",Orthodox,"Feb 22, 1984",http://ufcstats.com/fighter-details/8d49545dadf9b919
Alex Garcia,"5' 9""",170 lbs.,"72""",Orthodox,"Jul 14, 1987",http://ufcstats.com/fighter-details/a2b12c3f3d60ff69
Steve Garcia,"6' 0""",145 lbs.,"75""",Southpaw,"May 22, 1992",http://ufcstats.com/fighter-details/97cf1a2c7c5e7889
Elias Garcia,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 13, 1992",http://ufcstats.com/fighter-details/ac5a7400da3a9a41
Rafa Garcia,"5' 7""",155 lbs.,"70""",Orthodox,"Aug 05, 1994",http://ufcstats.com/fighter-details/e132d47bd9efbbe0
Fernie Garcia,"5' 7""",135 lbs.,"67""",Orthodox,"Apr 12, 1992",http://ufcstats.com/fighter-details/9e92e1ca498d7244
Pablo Garza,"6' 1""",145 lbs.,"73""",Orthodox,"Sep 16, 1983",http://ufcstats.com/fighter-details/8e5bfd4e82352340
Kelvin Gastelum,"5' 9""",185 lbs.,"71""",Southpaw,"Oct 24, 1991",http://ufcstats.com/fighter-details/8c0580d4fff106c1
Willie Gates,"5' 8""",125 lbs.,"72""",Orthodox,"Jan 21, 1987",http://ufcstats.com/fighter-details/6ded9184b2284645
Melissa Gatto,"5' 5""",135 lbs.,"69""",Orthodox,"May 02, 1996",http://ufcstats.com/fighter-details/a4a80dd7336ffd59
Sean Gauci,"5' 5""",125 lbs.,"64""",Switch,"Oct 07, 1996",http://ufcstats.com/fighter-details/d758f272d94f5866
Louis Gaudinot,"5' 3""",125 lbs.,"63""",Orthodox,"Aug 28, 1984",http://ufcstats.com/fighter-details/b72a60a0cadff408
Ateba Gautier,"6' 4""",185 lbs.,"81""",Switch,"Apr 10, 2002",http://ufcstats.com/fighter-details/2f815ed5f8278ba6
Shamil Gaziev,"6' 4""",265 lbs.,"78""",Orthodox,"Feb 10, 1990",http://ufcstats.com/fighter-details/6747ccd6d1acd266
Chad George,"5' 6""",135 lbs.,"68""",Southpaw,"Apr 30, 1982",http://ufcstats.com/fighter-details/14e797332ea32cdb
Karine Gevorgyan,"5' 4""",125 lbs.,"63""",,"Mar 09, 1989",http://ufcstats.com/fighter-details/2db0c114414d4f06
Yanis Ghemmouri,"5' 9""",135 lbs.,"69""",Orthodox,"Jan 24, 1995",http://ufcstats.com/fighter-details/eb70e786bbdf1d16
Christos Giagos,"5' 10""",155 lbs.,"71""",Orthodox,"Jan 23, 1990",http://ufcstats.com/fighter-details/de45aaae23dfa392
Joe Giannetti,"6' 0""",155 lbs.,"74""",Southpaw,"Jul 05, 1995",http://ufcstats.com/fighter-details/946db8a378903cc3
Cody Gibson,"5' 10""",135 lbs.,"71""",Orthodox,"Sep 11, 1987",http://ufcstats.com/fighter-details/700a674c042b7a96
Chase Gibson,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 07, 1990",http://ufcstats.com/fighter-details/09439946214993bc
Thomas Gifford,"6' 1""",155 lbs.,"75""",Orthodox,"Jul 26, 1992",http://ufcstats.com/fighter-details/e7f51d9f9e9259e7
Trevin Giles,"6' 0""",170 lbs.,"74""",Orthodox,"Aug 06, 1992",http://ufcstats.com/fighter-details/b27a1fcb56a3035a
Gregor Gillespie,"5' 7""",155 lbs.,"71""",Orthodox,"Nov 13, 1986",http://ufcstats.com/fighter-details/84ff027394f7e470
Micheal Gillmore,"5' 11""",170 lbs.,"72""",Orthodox,"Mar 28, 1987",http://ufcstats.com/fighter-details/ce175eaafe867d1f
Eperaim Ginting,"5' 4""",135 lbs.,"64""",Orthodox,"Nov 30, 1995",http://ufcstats.com/fighter-details/bad8ed7d714f1493
Ricky Glenn,"6' 0""",170 lbs.,"70""",Southpaw,"Apr 12, 1989",http://ufcstats.com/fighter-details/814ff3018127e8fc
Mark Godbeer,"6' 4""",240 lbs.,"77""",Orthodox,"Nov 22, 1983",http://ufcstats.com/fighter-details/ad56b3f00ca38dfd
Loopy Godinez,"5' 2""",115 lbs.,"61""",Orthodox,"Sep 06, 1993",http://ufcstats.com/fighter-details/8e5d953bdb9ae5e7
Billy Ray Goff,"5' 10""",170 lbs.,"72""",Switch,"Jun 18, 1998",http://ufcstats.com/fighter-details/fa07345cc9db5cc9
Amiran Gogoladze,"6' 1""",170 lbs.,"74""",Switch,"Dec 09, 1997",http://ufcstats.com/fighter-details/5d1636b6c1688502
Hannah Goldy,"5' 4""",115 lbs.,"61""",Orthodox,"May 18, 1992",http://ufcstats.com/fighter-details/26e3f3928b1891d9
Marcelo Golm,"6' 3""",249 lbs.,"75""",Orthodox,"Sep 15, 1992",http://ufcstats.com/fighter-details/ac29d508d78384c9
Denise Gomes,"5' 2""",115 lbs.,"63""",Orthodox,"Dec 30, 1999",http://ufcstats.com/fighter-details/cffb87059e645bd1
Frank Gomez,"5' 10""",135 lbs.,"67""",Orthodox,"Mar 31, 1986",http://ufcstats.com/fighter-details/a0a680fe2f6cc8e6
Joey Gomez,"5' 10""",135 lbs.,"73""",Orthodox,"Jul 21, 1986",http://ufcstats.com/fighter-details/0778f94eb5d588a5
Luis Gomez,"5' 7""",145 lbs.,"68""",Orthodox,"Jan 28, 1995",http://ufcstats.com/fighter-details/513e84bfe65ff509
Joey Gomez,"5' 10""",155 lbs.,"71""",Orthodox,"Aug 29, 1989",http://ufcstats.com/fighter-details/3a28e1e641366308
Edson Gomez,"5' 8""",170 lbs.,"69""",Switch,"Feb 23, 1991",http://ufcstats.com/fighter-details/e90f4291f93708e6
Silvana Gomez Juarez,"5' 3""",115 lbs.,"65""",Orthodox,"Dec 06, 1984",http://ufcstats.com/fighter-details/b4880ef2f838d4e1
Takanori Gomi,"5' 7""",155 lbs.,"70""",Southpaw,"Sep 22, 1978",http://ufcstats.com/fighter-details/3be081c29bf734d9
William Gomis,"6' 0""",145 lbs.,"73""",Southpaw,"Jun 13, 1997",http://ufcstats.com/fighter-details/e1d40e8782d80bc2
Akihiro Gono,"5' 7""",170 lbs.,"68""",Switch,"Oct 07, 1974",http://ufcstats.com/fighter-details/b2acebbef8da14ea
Gabriel Gonzaga,"6' 2""",242 lbs.,"76""",Orthodox,"May 18, 1979",http://ufcstats.com/fighter-details/270b89c00ef0c55c
Justin Gonzales,"5' 9""",145 lbs.,"72""",Orthodox,"Apr 28, 1991",http://ufcstats.com/fighter-details/94535f76f43b466a
Fernando Gonzalez,"5' 9""",170 lbs.,"68""",Southpaw,"Sep 15, 1983",http://ufcstats.com/fighter-details/be5aab761c40ef35
Jason Gonzalez,"6' 2""",155 lbs.,"74""",Southpaw,"Feb 28, 1990",http://ufcstats.com/fighter-details/e45cfa47f504033a
Jorge Gonzalez,"6' 2""",205 lbs.,"76""",Orthodox,"Feb 29, 1984",http://ufcstats.com/fighter-details/ff175a137b395e2b
Mikey Gonzalez,"5' 11""",155 lbs.,"74""",Orthodox,"Aug 13, 1985",http://ufcstats.com/fighter-details/de47c33e48b0ce38
Erick Gonzalez,"5' 11""",155 lbs.,"75""",Orthodox,"Jan 20, 1992",http://ufcstats.com/fighter-details/a2ccf35a88346a91
Lyman Good,"6' 0""",170 lbs.,"74""",Orthodox,"May 26, 1985",http://ufcstats.com/fighter-details/4e0692ad070976e4
Jared Gooden,"6' 0""",170 lbs.,"77""",Orthodox,"Dec 05, 1993",http://ufcstats.com/fighter-details/c730a0be691dc081
Eddie Gordon,"6' 0""",185 lbs.,"76""",Orthodox,"Jul 22, 1983",http://ufcstats.com/fighter-details/8cad40a75e5c97f5
Jared Gordon,"5' 9""",155 lbs.,"68""",Orthodox,"Sep 06, 1988",http://ufcstats.com/fighter-details/7026eca45f65377b
Malcolm Gordon,"5' 7""",125 lbs.,"71""",Switch,"May 19, 1990",http://ufcstats.com/fighter-details/dee294e9717012c2
Tresean Gore,"6' 0""",185 lbs.,"75""",Switch,"Jun 21, 1994",http://ufcstats.com/fighter-details/147e70aa6cc48cfc
Alex Gorgees,"6' 2""",155 lbs.,"74""",Switch,"Aug 11, 1995",http://ufcstats.com/fighter-details/803bebcfb6d6f506
Themba Gorimbo,"6' 1""",170 lbs.,"77""",Orthodox,"Jan 23, 1991",http://ufcstats.com/fighter-details/40f3cb27fc7305a1
Jonathan Goulet,"6' 0""",170 lbs.,"73""",Orthodox,"Jul 13, 1979",http://ufcstats.com/fighter-details/fb1538b46877a695
Thibault Gouti,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 27, 1987",http://ufcstats.com/fighter-details/51e86de150ee8be6
Wilson Gouveia,"6' 1""",185 lbs.,"76""",Orthodox,"Oct 03, 1978",http://ufcstats.com/fighter-details/af5b208e97f5d382
Damian Grabowski,"6' 1""",241 lbs.,"75""",Orthodox,"May 12, 1980",http://ufcstats.com/fighter-details/3f11b5d4bd76a6d9
Roger Gracie,"6' 4""",185 lbs.,"79""",Orthodox,"Sep 26, 1981",http://ufcstats.com/fighter-details/a6bbd3df469c6bea
Kron Gracie,"5' 9""",145 lbs.,"70""",Southpaw,"Jul 11, 1988",http://ufcstats.com/fighter-details/242d36d241b43c12
Bogdan Grad,"5' 8""",145 lbs.,"70""",Orthodox,"Sep 28, 1995",http://ufcstats.com/fighter-details/fb37795db81f93f3
Miranda Granger,"5' 7""",115 lbs.,"68""",Orthodox,"Apr 13, 1992",http://ufcstats.com/fighter-details/7559395ad833c074
TJ Grant,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 26, 1984",http://ufcstats.com/fighter-details/a26198ba5093147e
Davey Grant,"5' 8""",135 lbs.,"69""",Orthodox,"Dec 18, 1985",http://ufcstats.com/fighter-details/113df4fde64735c6
Dwight Grant,"6' 1""",185 lbs.,"76""",Switch,"Sep 14, 1984",http://ufcstats.com/fighter-details/8be158ca1e5ea6a0
Alexa Grasso,"5' 5""",125 lbs.,"66""",Orthodox,"Aug 09, 1993",http://ufcstats.com/fighter-details/e8b731feff72294b
Tony Gravely,"5' 5""",135 lbs.,"69""",Orthodox,"Sep 28, 1991",http://ufcstats.com/fighter-details/601964f9654f911a
Michael Graves,"5' 10""",170 lbs.,"71""",Orthodox,"Jan 08, 1991",http://ufcstats.com/fighter-details/3f1d23b01c552a13
Shelton Graves,"6' 2""",255 lbs.,"76""",Southpaw,"Oct 23, 1985",http://ufcstats.com/fighter-details/642862d6d63605cd
